soure,ayeh,word,Tag,Lemma,Root
1,1,بِ,P,,
1,1,سْمِ,N,ٱسْم,سمو
1,1,ٱللَّهِ,PN,ٱللَّه,اله
1,1,ٱل,DET,,
1,1,رَّحْمَٰنِ,ADJ,رَّحْمَٰن,رحم
1,1,ٱل,DET,,
1,1,رَّحِيمِ,ADJ,رَّحِيم,رحم
1,2,ٱلْ,DET,,
1,2,حَمْدُ,N,حَمْد,حمد
1,2,لِ,P,,
1,2,لَّهِ,PN,ٱللَّه,اله
1,2,رَبِّ,N,رَبّ,ربب
1,2,ٱلْ,DET,,
1,2,عَٰلَمِينَ,N,عَٰلَمِين,علم
1,3,ٱل,DET,,
1,3,رَّحْمَٰنِ,ADJ,رَّحْمَٰن,رحم
1,3,ٱل,DET,,
1,3,رَّحِيمِ,ADJ,رَّحِيم,رحم
1,4,مَٰلِكِ,N,مَٰلِك,ملك
1,4,يَوْمِ,N,يَوْم,يوم
1,4,ٱل,DET,,
1,4,دِّينِ,N,دِين,دين
1,5,إِيَّاكَ,PRON,إِيَّا,
1,5,نَعْبُدُ,V,عَبَدَ,عبد
1,5,وَ,CONJ,,
1,5,إِيَّاكَ,PRON,إِيَّا,
1,5,نَسْتَعِينُ,V,ٱسْتَعِينُ,عون
1,6,ٱهْدِ,V,هَدَى,هدي
1,6,نَا,PRON,,
1,6,ٱل,DET,,
1,6,صِّرَٰطَ,N,صِرَٰط,صرط
1,6,ٱلْ,DET,,
1,6,مُسْتَقِيمَ,ADJ,مُّسْتَقِيم,قوم
1,7,صِرَٰطَ,N,صِرَٰط,صرط
1,7,ٱلَّذِينَ,REL,ٱلَّذِى,
1,7,أَنْعَمْ,V,أَنْعَمَ,نعم
1,7,تَ,PRON,,
1,7,عَلَيْ,P,عَلَىٰ,
1,7,هِمْ,PRON,,
1,7,غَيْرِ,N,غَيْر,غير
1,7,ٱلْ,DET,,
1,7,مَغْضُوبِ,N,مَغْضُوب,غضب
1,7,عَلَيْ,P,عَلَىٰ,
1,7,هِمْ,PRON,,
1,7,وَ,CONJ,,
1,7,لَا,NEG,لَا,
1,7,ٱل,DET,,
1,7,ضَّا^لِّينَ,N,ضَا^لّ,ضلل
2,1,ال^م^,INL,,
2,2,ذَٰلِكَ,DEM,ذَٰلِك,
2,2,ٱلْ,DET,,
2,2,كِتَٰبُ,N,كِتَٰب,كتب
2,2,لَا,NEG,لَا,
2,2,رَيْبَ,N,رَيْب,ريب
2,2,فِي,P,فِى,
2,2,هِ,PRON,,
2,2,هُدًى,N,هُدًى,هدي
2,2,لِّ,P,,
2,2,لْ,DET,,
2,2,مُتَّقِينَ,N,مُتَّقِين,وقي
2,3,ٱلَّذِينَ,REL,ٱلَّذِى,
2,3,يُؤْمِنُ,V,ءَامَنَ,امن
2,3,ونَ,PRON,,
2,3,بِ,P,,
2,3,ٱلْ,DET,,
2,3,غَيْبِ,N,غَيْب,غيب
2,3,وَ,CONJ,,
2,3,يُقِيمُ,V,أَقَامَ,قوم
2,3,ونَ,PRON,,
2,3,ٱل,DET,,
2,3,صَّلَوٰةَ,N,صَلَوٰة,صلو
2,3,وَ,REM,,
2,3,مِ,P,مِن,
2,3,مَّا,REL,مَا,
2,3,رَزَقْ,V,رَزَقَ,رزق
2,3,نَٰ,PRON,,
2,3,هُمْ,PRON,,
2,3,يُنفِقُ,V,أَنفَقَ,نفق
2,3,ونَ,PRON,,
2,4,وَ,CONJ,,
2,4,ٱلَّذِينَ,REL,ٱلَّذِى,
2,4,يُؤْمِنُ,V,ءَامَنَ,امن
2,4,ونَ,PRON,,
2,4,بِ,P,,
2,4,مَا^,REL,مَا,
2,4,أُنزِلَ,V,أَنزَلَ,نزل
2,4,إِلَيْ,P,إِلَىٰ,
2,4,كَ,PRON,,
2,4,وَ,CONJ,,
2,4,مَا^,REL,مَا,
2,4,أُنزِلَ,V,أَنزَلَ,نزل
2,4,مِن,P,مِن,
2,4,قَبْلِ,N,قَبْل,قبل
2,4,كَ,PRON,,
2,4,وَ,REM,,
2,4,بِ,P,,
2,4,ٱلْ,DET,,
2,4,ءَاخِرَةِ,N,ا^خِر,اخر
2,4,هُمْ,PRON,,
2,4,يُوقِنُ,V,يُوقِنُ,يقن
2,4,ونَ,PRON,,
2,5,أُو@لَٰ^ئِكَ,DEM,أُولَٰ^ئِك,
2,5,عَلَىٰ,P,عَلَىٰ,
2,5,هُدًى,N,هُدًى,هدي
2,5,مِّن,P,مِن,
2,5,رَّبِّ,N,رَبّ,ربب
2,5,هِمْ,PRON,,
2,5,وَ,CONJ,,
2,5,أُو@لَٰ^ئِكَ,DEM,أُولَٰ^ئِك,
2,5,هُمُ,PRON,,
2,5,ٱلْ,DET,,
2,5,مُفْلِحُونَ,N,مُفْلِحُون,فلح
2,6,إِنَّ,ACC,إِنّ,
2,6,ٱلَّذِينَ,REL,ٱلَّذِى,
2,6,كَفَرُ,V,كَفَرَ,كفر
2,6,وا@,PRON,,
2,6,سَوَا^ءٌ,N,سَوَا^ء,سوي
2,6,عَلَيْ,P,عَلَىٰ,
2,6,هِمْ,PRON,,
2,6,ءَ,EQ,,
2,6,أَنذَرْ,V,أَنذَرَ,نذر
2,6,تَ,PRON,,
2,6,هُمْ,PRON,,
2,6,أَمْ,CONJ,أَم,
2,6,لَمْ,NEG,لَم,
2,6,تُنذِرْ,V,أَنذَرَ,نذر
2,6,هُمْ,PRON,,
2,6,لَا,NEG,لَا,
2,6,يُؤْمِنُ,V,ءَامَنَ,امن
2,6,ونَ,PRON,,
2,7,خَتَمَ,V,خَتَمَ,ختم
2,7,ٱللَّهُ,PN,ٱللَّه,اله
2,7,عَلَىٰ,P,عَلَىٰ,
2,7,قُلُوبِ,N,قَلْب,قلب
2,7,هِمْ,PRON,,
2,7,وَ,CONJ,,
2,7,عَلَىٰ,P,عَلَىٰ,
2,7,سَمْعِ,N,سَمْع,سمع
2,7,هِمْ,PRON,,
2,7,وَ,REM,,
2,7,عَلَىٰ^,P,عَلَىٰ,
2,7,أَبْصَٰرِ,N,بَصَر,بصر
2,7,هِمْ,PRON,,
2,7,غِشَٰوَةٌ,N,غِشَٰوَة,غشو
2,7,وَ,REM,,
2,7,لَ,P,,
2,7,هُمْ,PRON,,
2,7,عَذَابٌ,N,عَذَاب,عذب
2,7,عَظِيمٌ,ADJ,عَظِيم,عظم
